,City,Temperature,Humidity,Cloudiness,Wind,lat,lng
138,dikson,-2.01,85.0,6.0,8.67,71.16500709878963,78.80376190382702
139,mugreyevskiy,,,,,56.68903276172992,42.26024768768127
140,bull savanna,28.65,77.0,77.0,5.63,16.221205539404295,-77.68655880942332
141,mahebourg,22.78,88.0,75.0,3.6,-38.16314566565062,74.55165418681219
142,havelock,29.0,48.0,1.0,4.6,-41.53833048903708,173.81382426942736
143,teruel,20.0,62.0,0.0,2.6,40.255653424977254,-0.9040393179579098
144,udala,20.0,77.0,75.0,3.6,21.680208038705047,86.70766544431092
145,yar-sale,3.73,95.0,100.0,3.73,74.64374140034752,70.22317758273502
146,takoradi,23.57,93.0,100.0,1.6,-0.08971271262790026,0.2747851851828784
147,sentyabrskiy,,,,,37.26358551483966,154.01716641307274
148,bangassou,20.7,98.0,95.0,0.17,5.692511558802323,22.614285726130618
149,weinan,19.44,100.0,37.0,0.48,33.9178343884341,109.85242012637309
150,vaini,23.45,94.0,71.0,0.58,-23.701179503196087,-176.50985742428097
151,chokurdakh,-6.73,80.0,0.0,7.62,82.9058972045516,149.7628513898207
152,itoman,27.0,88.0,40.0,5.7,19.246595643610306,131.40170075588748
153,tefe,31.0,70.0,40.0,2.6,-3.5170000609729897,-63.886074895568896
154,rolim de moura,,,,,-12.407955705750908,-61.845001792039
155,oliva,19.13,20.0,97.0,7.15,39.02243143520923,0.016820525164433775
156,provideniya,8.0,87.0,75.0,7.0,55.82142013185009,-170.42821487104987
157,bethel,7.0,75.0,1.0,4.1,55.363402008817815,-161.527701751677
158,mae hong son,19.44,96.0,98.0,0.69,19.461421666540005,98.46296502873997
159,chinsali,20.67,70.0,91.0,1.51,-10.967065594099381,32.17790682671773
160,broken hill,15.0,18.0,30.0,4.1,-27.70503738107692,142.6166410016882
161,aranda de duero,14.71,52.0,0.0,3.25,41.79925587272717,-4.02914609159285
162,berlevag,2.0,74.0,40.0,8.7,81.70439612513698,32.47558935439616
163,san jose de gracia,25.68,47.0,0.0,3.08,22.101279868693965,-102.45178966617485
164,samusu,,,,,-5.200414836621192,-165.64689804069113
165,mattru,24.1,96.0,69.0,1.59,2.0583259793019693,-15.930574360519387
166,richmond hill,23.0,94.0,75.0,5.1,31.658089122961712,-81.24421947786148
167,shahpura,21.18,88.0,0.0,3.81,25.450027621373465,74.959354041582
168,skjervoy,3.0,69.0,75.0,9.3,72.39803398486114,19.938398014710913
169,doha,33.0,70.0,80.0,1.5,27.79211379028557,45.99545251528008
170,ketchikan,11.0,71.0,90.0,12.3,56.39275679517917,-132.37381648846127
171,mount isa,24.0,15.0,0.0,2.1,-20.01584028656417,137.6059851840273
172,victoria,24.0,94.0,75.0,1.5,-7.3708210936338645,50.73848334623989
173,kostomuksha,7.43,83.0,100.0,9.34,64.92070547798511,29.839165820436733
174,chifeng,14.23,67.0,0.0,4.33,44.0980154850117,119.29094745149547
175,klaksvik,7.0,81.0,73.0,8.7,74.11811530859057,-1.4561133934141992
176,pyaozerskiy,4.12,91.0,100.0,14.33,65.99812420487487,31.771065057310636
177,kaa-khem,-4.09,65.0,2.0,1.97,52.13222028800473,94.73589547582651
178,chagda,,,,,57.922201288159386,132.07183576898456
179,socuellamos,21.67,44.0,0.0,4.57,39.28005789208095,-2.7222481184857656
180,khani,13.0,93.0,0.0,1.5,56.90809213399746,119.65174569782647
181,mys shmidta,,,,,84.2061548077645,-175.93720273736523
182,kavaratti,27.24,70.0,12.0,1.74,12.040598325205025,66.1132770546935
183,halalo,,,,,-14.946704996011064,-178.8952690199726
184,ponta delgada,23.0,83.0,75.0,6.2,28.31749878010413,-27.54304387979562
185,huilong,20.66,77.0,100.0,1.39,32.06994404107087,125.17616715374521
186,kahului,30.0,51.0,20.0,7.7,35.93707418716353,-151.00476329982436
187,jamestown,18.33,24.0,0.0,5.07,-43.84239224536651,-16.79983778699355
188,calbuco,9.0,61.0,75.0,3.6,-41.531456275290246,-73.43214667353753
189,paratinga,29.05,44.0,65.0,2.02,-12.741533916991969,-43.19378327045729
